date,event,source,start_date,end_date
10000,"If a failure of the Wilkes Subglacial Basin ""ice plug"" in the next few centuries were to endanger the East Antarctic Ice Sheet, it will take up to this long to melt completely. Sea levels would rise 3 to 4 metres.[7] One of the potential long-term effects of global warming, this is separate from the shorter-term threat of the West Antarctic Ice Sheet.",https://en.wikipedia.org/wiki/Timeline_of_the_far_future,10000,10000
10000,The red supergiant star Antares will likely have exploded in a supernova. The explosion is expected to be easily visible in daylight.[8],https://en.wikipedia.org/wiki/Timeline_of_the_far_future,10000,10000
15000,"According to the Sahara pump theory, the precession of Earth's poles will move the North African Monsoon far enough north to convert the Sahara back into a tropical climate, as it was 5,000–10,000 years ago.[9][10]",https://en.wikipedia.org/wiki/Timeline_of_the_far_future,15000,15000
25000,"The northern Martian polar ice cap could recede as Mars reaches a warming peak of the northern hemisphere during the c. 50,000-year perihelion precession aspect of its Milankovitch cycle.[11][12]",https://en.wikipedia.org/wiki/Timeline_of_the_far_future,25000,25000
36000,"The small red dwarf Ross 248 will pass within 3.024 light-years of Earth, becoming the closest star to the Sun.[13] It will recede after about 8,000 years, making first Alpha Centauri again and then Gliese 445 the nearest stars[13] (see timeline).",https://en.wikipedia.org/wiki/Timeline_of_the_far_future,36000,36000
50000,"According to Berger and Loutre, the current interglacial period ends,[14] sending the Earth back into a glacial period of the current ice age, regardless of the effects of anthropogenic global warming. Niagara Falls will have eroded away the remaining 32 km to Lake Erie, and cease to exist.[15] The many glacial lakes of the Canadian Shield will have been erased by post-glacial rebound and erosion.[16]",https://en.wikipedia.org/wiki/Timeline_of_the_far_future,50000,50000
50000,"The length of the day used for astronomical timekeeping reaches about 86,401 SI seconds, due to lunar tides decelerating the Earth's rotation. Under the present-day timekeeping system, either a leap second would need to be added to the clock every single day, or else by then, in order to compensate, the length of the day would have had to have been officially lengthened by one SI second.[17]",https://en.wikipedia.org/wiki/Timeline_of_the_far_future,50000,50000
100000,"The proper motion of stars across the celestial sphere, which is the result of their movement through the Milky Way, renders many of the constellations unrecognisable.[18]",https://en.wikipedia.org/wiki/Timeline_of_the_far_future,100000,100000
100000,The hypergiant star VY Canis Majoris will likely have exploded in a hypernova.[19],https://en.wikipedia.org/wiki/Timeline_of_the_far_future,100000,100000
100000,"Earth will likely have undergone a supervolcanic eruption large enough to erupt 400 km3 (96 cubic miles) of magma. For comparison, Lake Erie is 484 km3 (116 cu mi).[20]",https://en.wikipedia.org/wiki/Timeline_of_the_far_future,100000,100000
