date,event,source,start_date,end_date
1000000,First coyotes,https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,1000000,1000000
1000000000,"The first non-marine eukaryotes move onto land. They were photosynthetic and multicellular, indicating that plants evolved much earlier than originally thought.[47]",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,1000000000,1000000000
1200000,Evolution of Homo antecessor. The last members of Paranthropus die out.,https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,1200000,1200000
1700000,Extinction of australopithecines,https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,1700000,1700000
10000000,"Grasslands and savannas are established, diversity in insects, especially ants and termites, horses increase in body size and develop high-crowned teeth, major diversification in grassland mammals and snakes",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,10000000,10000000
10000,"The Holocene epoch starts 10,000[75] years ago after the Late Glacial Maximum. The last mainland species of woolly mammoth (Mammuthus primigenus) die out, as does the last Smilodon species.",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,10000,10000
100000000,Earliest bees,https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,100000000,100000000
105,"Martha, last known passenger pigeon, dies",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,105,105
106000000,"Spinosaurus, the largest theropod dinosaur, appears in the fossil record",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,106000000,106000000
11000,"Short-faced bears vanish from North America, with the last giant ground sloths dying out. All Equidae become extinct in North America.",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,11000,11000
11,"The baiji, the Yangtze river dolphin, becomes functionally extinct, according to the IUCN Red List[79]",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,11,11
110000000,"First hesperornithes, toothed diving birds. Earliest limopsid, verticordiid, and thyasirid bivalves.",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,110000000,110000000
112000000,"Xiphactinus, a large predatory fish, appears in the fossil record",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,112000000,112000000
115000000,First monotreme mammals,https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,115000000,115000000
120000000,"Oldest fossils of heterokonts, including both marine diatoms and silicoflagellates",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,120000000,120000000
130000000,The rise of the angiosperms: Some of these flowering plants bear structures that attract insects and other animals to spread pollen; other angiosperms were pollinated by wind or water. This innovation causes a major burst of animal evolution through coevolution. First freshwater pelomedusid turtles. Earliest krill.,https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,130000000,130000000
1300000000,Earliest land fungi[43],https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,1300000000,1300000000
136,"The quagga, a subspecies of zebra, goes extinct",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,136,136
140000000,Orb-weaver spiders appear,https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,140000000,140000000
1400000000,Great increase in stromatolite diversity.,https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,1400000000,1400000000
15000000,"Genus Mammut appears in the fossil record, first bovids and kangaroos, diversity in Australian megafauna",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,15000000,15000000
15000,The last woolly rhinoceros (Coelodonta antiquitatis) are believed to have gone extinct,https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,15000,15000
153000000,First pine trees,https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,153000000,153000000
155000000,"First blood-sucking insects (ceratopogonids), rudist bivalves, and cheilostome bryozoans. Archaeopteryx, a possible ancestor to the birds, appears in the fossil record, along with triconodontid and symmetrodont mammals. Diversity in stegosaurian and theropod dinosaurs.",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,155000000,155000000
160000000,Multituberculate mammals (genus Rugosodon) appear in eastern China,https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,160000000,160000000
161000000,Ceratopsian dinosaurs appear in the fossil record (Yinlong) and the oldest known Eutherian Mammal appear in the fossil record: Juramaia.,https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,161000000,161000000
163000000,Pterodactyloid pterosaurs first appear[69],https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,163000000,163000000
165000000,First rays and glycymeridid bivalves. First vampire squids[68],https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,165000000,165000000
17000000,First birds of the genus Corvus (crows),https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,17000000,17000000
170000000,"Earliest salamanders, newts, cryptoclidids, elasmosaurid plesiosaurs, and cladotherian mammals. Sauropod dinosaurs diversify.",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,170000000,170000000
176000000,First members of the Stegosauria group of dinosaurs,https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,176000000,176000000
190000000,"Pliosauroids appear in the fossil record. First lepidopteran insects (Archaeolepis), hermit crabs, modern starfish, irregular echinoids, corbulid bivalves, and tubulipore bryozoans. Extensive development of sponge reefs.",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,190000000,190000000
195000000,"First pterosaurs with specialized feeding (Dorygnathus). First sauropod dinosaurs. Diversification in small, ornithischian dinosaurs: heterodontosaurids, fabrosaurids, and scelidosaurids.",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,195000000,195000000
2000000,"First members of the genus Homo, Homo Habilis, appear in the fossil record. Diversification of conifers in high latitudes. The eventual ancestor of cattle, aurochs (Bos primigenus), evolves in India.",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,2000000,2000000
2500000,The earliest species of Smilodon evolve,https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,2500000,2500000
2700000,Evolution of Paranthropus,https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,2700000,2700000
20000000,"First giraffes, hyenas, and giant anteaters, increase in bird diversity",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,20000000,20000000
200000000,"The first accepted evidence for viruses that infect eukaryotic cells (at least, the group Geminiviridae) existed.[67] Viruses are still poorly understood and may have arisen before ""life"" itself, or may be a more recent phenomenon. Major extinctions in terrestrial vertebrates and large amphibians. Earliest examples of armoured dinosaurs",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,200000000,200000000
205000000,"The Massive extinction of Triassic/Jurassic, that wiped out most of the group of pseudosuchians and gave the opportunity of dinosaurs including the Apatosaurus, Tyrannosaurus, Perrotasaurus, and Stegosaurus to enter their golden age.",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,205000000,205000000
220000000,Seed-producing Gymnosperm forests dominate the land; herbivores grow to huge sizes to accommodate the large guts necessary to digest the nutrient-poor plants.[citation needed] First flies and turtles (Odontochelys). First coelophysoid dinosaurs.,https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,220000000,220000000
225000000,"Earliest dinosaurs (prosauropods), first cardiid bivalves, diversity in cycads, bennettitaleans, and conifers. First teleost fishes. First mammals (Adelobasileus).",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,225000000,225000000
23000000,"Earliest ostriches, trees representative of most major groups of oaks have appeared by now[71]",https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,23000000,23000000
24000000,First pinnipeds,https://en.wikipedia.org/wiki/Timeline_of_the_evolutionary_history_of_life,24000000,24000000
